transform,dtype,beta,rapidity,angle,num_samples,relative_l2_mean,relative_l2_p10,relative_l2_p90,relative_l2_max,max_absolute_mean,max_absolute_max
rotation_fixed_axis,float32,,,1.5707963267948966,48,477.8354792475029,7.00547619351075,1430.8035189949421,3788.9502443463184,1035.342524388526,10120.612970642691
rotation_fixed_axis,float32,,,1.7278759594743862,48,541.3174439320578,10.651160854072732,1598.133231572839,4250.656266128476,1157.0413974169212,11304.433320804997
rotation_fixed_axis,float32,,,1.8849555921538759,48,557.5927020628329,12.743135008884687,1465.2066894665231,4375.632907907268,1206.7244189635608,12065.37223316181
rotation_fixed_axis,float32,,,2.0420352248333655,48,571.5794613695397,19.052106172733552,1424.8123342697413,3714.5594155920994,1213.445849094487,10391.544221524367
rotation_fixed_axis,float32,,,2.199114857512855,48,594.6035138354192,27.123860107311753,1532.1017931898496,3091.756219906181,1324.3075620357647,8897.055749342448
rotation_fixed_axis,float32,,,2.356194490192345,48,567.8859421389587,27.00211910383253,1269.8621149706196,2730.1467584251573,1205.2338645969892,7206.558214902509
rotation_fixed_axis,float32,,,2.5132741228718345,48,551.6451752560275,26.87249023766106,1182.5933077798732,2497.0172662149826,1130.0492974943966,5867.237453875262
rotation_fixed_axis,float32,,,2.670353755551324,48,545.2506634959306,30.568514287489606,1387.743421082726,2286.2013897175284,1109.8004821148697,5848.141355202976
rotation_fixed_axis,float32,,,2.827433388230814,48,538.9825457184952,34.36300114993935,1225.800517004579,2149.2099035908022,1080.4429220221512,5760.946966982693
rotation_fixed_axis,float32,,,2.9845130209103035,48,539.6115257825926,33.60140830516892,1232.2981001921735,2080.2442491066436,1077.7775759965364,5619.460144365961
rotation_fixed_axis,float32,,,3.141592653589793,48,540.1304121401863,32.12710120842248,1231.9407781201185,2059.558042246767,1075.2905453586554,5602.563105444693
rotation_fixed_axis,float32,,,3.2986722862692828,48,540.0583377115637,32.263307969936,1226.429848072205,2085.043857276323,1075.03479890516,5623.496310907852
rotation_fixed_axis,float32,,,3.4557519189487724,48,539.1610443561871,33.983440257511575,1211.4904656194574,2160.7693478275837,1072.6479931759604,5708.175993233334
rotation_fixed_axis,float32,,,3.612831551628262,48,545.9469129256,31.730332044353098,1351.9107820080628,2310.8762337495873,1104.2014373791299,5733.93378498332
rotation_fixed_axis,float32,,,3.7699111843077517,48,554.7727086137403,26.29050957624485,1196.0442824851507,2521.655059744877,1129.3718113574173,5927.487671547884
rotation_fixed_axis,float32,,,3.9269908169872414,48,568.2196299423177,22.720408356135117,1334.4951939037376,2753.5873926431905,1187.8968445253424,7114.523007400631
rotation_fixed_axis,float32,,,4.084070449666731,48,590.9613425582451,22.651430532672354,1580.039074790421,2962.9698351958614,1270.4213571363405,8596.066574371163
rotation_fixed_axis,float32,,,4.241150082346221,48,572.3032822140154,16.162801889317716,1505.0975543345714,3424.043549468952,1202.5687876983768,9753.127396008173
rotation_fixed_axis,float32,,,4.39822971502571,48,574.5322930530068,9.953917309050063,1744.8935591277118,4318.9949604315625,1214.2913063389406,12011.50751475523
rotation_fixed_axis,float32,,,4.5553093477052,48,560.416962285823,8.939326948966265,1717.7129997858212,4428.501823064374,1144.9581287188514,11801.359322731998
rotation_fixed_axis,float32,,,4.71238898038469,48,496.4446922796206,6.385232194285324,1550.3808555163507,3999.9091002473874,1058.571244611044,10699.700842162538
rotation_fixed_axis,float32,,,4.869468613064179,48,397.3656692185041,6.749515332819554,1115.4494556761128,3939.166842028268,953.040847321476,11091.685936543281
rotation_fixed_axis,float32,,,5.026548245743669,48,302.2677442582885,6.902209388990294,835.668025390743,3360.3154653442252,732.9228806206461,9542.089221474502
rotation_fixed_axis,float32,,,5.183627878423159,48,195.6953277421983,6.478114691121152,634.1593992173487,1675.750015149247,555.9322520482336,5837.870665779016
